1: Cell Index,2: Num Nuclei,1: Cell Length,2: Nuc Area,1: Cell Area,2/2: Mean Nuc Int,1: Cell Width,2: Whole Cell Int,2: Background Int,2/2: BkgdSubt Nuc Int,2: BkgdSubt WC Int
1,1,10.7787234726083,15.255108795786,30.0151461363126,0,3.71654887662443,271.32527809743,275,-275,-3.67472190257001
2,1,13.6464916388927,3.68425269030304,37.4181913858903,507.984375,3.66534594772902,302.032923076923,275,232.984375,27.0329230769231
3,1,16.743089295654,5.06584744916668,43.2899691110607,542.434090909091,3.47807476607291,330.415957446809,275,267.434090909091,55.4159574468085
4,1,16.4948748424012,4.40958993870645,42.2998262005418,565.791122715405,3.39805733570036,329.810560696788,275,290.791122715405,54.8105606967882
5,1,13.5333983380511,4.07570453864774,34.4362493646762,526.056497175141,3.36563269374248,314.691741892344,275,251.056497175141,39.6917418923437
6,1,12.2168401320231,3.75333242824622,30.5332441708864,352.58282208589,3.26851533597189,290.584841628959,275,77.5828220858896,15.5848416289593
7,2,19.2694202659911,4.45564309733524,51.5910509538998,452.40826873385,3.55079334376608,370.791787547422,275,177.40826873385,95.7917875474225
8,1,16.5043061716031,5.33065311128221,42.1846933039698,684.332613390929,3.37777497011534,374.055676855895,275,409.332613390929,99.0556768558952
9,1,13.107120229885,4.19083743521971,34.3786829163902,454.019230769231,3.4689360480689,298.688211654387,275,179.019230769231,23.6882116543871
10,2,18.8847710724095,3.8224121661894,52.2703350436744,459.743975903614,3.71339852609947,322.001101321586,275,184.743975903614,47.0011013215859
11,1,12.3178148305318,17.2584211961383,33.0546546058126,0,3.60360831241713,265.486241727621,275,-275,-9.51375827237894
12,1,16.3387634168279,4.52472283527842,43.2093760834603,523.295165394402,3.51389287458855,311.798561151079,275,248.295165394402,36.7985611510791
13,1,13.720658901157,4.39807664904925,35.5184985924528,478.246073298429,3.40842625995419,304.718638573744,275,203.246073298429,29.7186385737439
14,1,14.358220662914,4.5938025732216,35.7142245166251,521.734335839599,3.31970592589578,331.352998065764,275,246.734335839599,56.352998065764
15,1,13.1063738520092,4.13327098693372,36.4510750546857,527.306406685237,3.63156132610732,331.711307643714,275,252.306406685237,56.7113076437145
16,1,15.6267804345471,5.14644047676706,40.8030985451062,396.149888143177,3.53319408877748,318.462189616253,275,121.149888143177,43.4621896162528
17,1,22.1458639509141,36.4856149236573,61.2046478176593,0,3.67537692276573,347.48532731377,275,-275,72.4853273137697
18,1,9.87456436682053,17.7189527824262,27.2980097772141,0,3.63069697127313,300.923660902573,275,-275,25.9236609025727
19,1,20.136715565202,34.8737543716497,56.2424199754074,0,3.76380893716418,372.726305015353,275,-275,97.7263050153531
20,1,10.8246040273773,5.94085746311365,27.3901160944717,0,3.39799579282549,304.362337116435,275,-275,29.3623371164355
21,1,20.1981956823915,36.7734471650872,57.9694134239869,0,3.7159658035668,315.849056603774,275,-275,40.8490566037736
22,1,10.2339730554099,16.2567649959622,26.5496459494963,0,3.42996917989246,297.20685169124,275,-275,22.2068516912402
23,1,16.8001807575563,4.50169625596403,43.888660173235,539.920716112532,3.47839817045786,309.768363064008,275,264.920716112532,34.7683630640084
24,1,11.3642170070485,6.57408839425949,29.3819152051667,0,3.43122057515029,315.376567398119,275,-275,40.3765673981191
25,2,24.7311178317311,4.84709494567994,65.6257510460229,684.187648456057,3.57325598045774,404.189824561403,275,409.187648456057,129.189824561403
26,1,18.3445764585466,5.48032587682577,51.257165553841,453.888655462185,3.79841565804333,299.427448337826,275,178.888655462185,24.4274483378257
